model_id,model_slug,objective,condition,seed,target,target_idx,dataset_kind,train_per_class,test_per_class,steps,batch_size,geom_dim,concern_weight,final_loss,target_margin,target_margin_z,specificity_z,target_rank_percentile,target_centroid_margin_z,target_knn_purity_z,target_effective_rank_z,target_knn_purity,target_f1,accuracy
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260984,sci.med,2,20newsgroups,96,96,90,32,32,8.0,1.2521482706069946,0.11214589820296866,-0.5144655341336342,-0.6859540455115122,0.75,0.9258946852193324,0.16714699884322598,0.9067054527888394,0.90234375,0.9346733668341708,0.9244791666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260984,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.2521482706069946,0.11198941994410173,-0.514911155880783,-0.6865482078410439,0.5,-0.9548523989029426,-0.44066026967759175,0.6721143498944187,0.8763020833333334,0.9025641025641026,0.9244791666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,concern,20260984,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.2730711698532104,0.009245074589197266,-0.9122001046711642,-1.216266806228219,0.25,-0.8058491748169697,-1.3003085228249343,-0.18388640390423325,0.8450520833333334,0.8969072164948454,0.921875
distilbert-base-uncased,distilbert_base_uncased,jepa,random_matched,20260984,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.0731828212738037,0.02516775210316361,-0.8207140023261873,-1.0942853364349163,0.25,-0.7955995200710654,-1.1889522160722106,-1.299112037402014,0.83984375,0.8795811518324607,0.9192708333333334
distilbert-base-uncased,distilbert_base_uncased,jepa,concern,20260984,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.3581101894378662,0.5137998015844635,1.502858081299089,2.003810775065452,1.0,1.2794968424678685,1.593384735690617,1.6469565851348826,0.9791666666666666,0.9595959595959597,0.9114583333333334
distilbert-base-uncased,distilbert_base_uncased,jepa,random_matched,20260984,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.535367488861084,0.7679627890913142,1.674870684818511,2.233160913091348,1.0,1.2001526410055778,1.5439751190689528,1.4865776103301762,0.9622395833333334,0.9789473684210526,0.9244791666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,concern,20260984,sci.med,2,20newsgroups,96,96,90,32,32,8.0,1.3982664346694946,0.19387033895783767,-0.20868569230562956,-0.27824758974083935,0.75,0.7990563253653129,0.1661079036399022,-0.321956825994434,0.8984375,0.9285714285714285,0.9036458333333334
distilbert-base-uncased,distilbert_base_uncased,jepa,random_matched,20260984,sci.med,2,20newsgroups,96,96,90,32,32,8.0,0.8506182432174683,0.1639288260371909,-0.40215920126445437,-0.5362122683526058,0.75,0.8108054710337956,-0.013340449865035853,-0.316693426617433,0.8893229166666666,0.9222797927461139,0.9114583333333334
distilbert-base-uncased,distilbert_base_uncased,jepa,concern,20260984,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.5866692066192627,0.03484970198138032,-0.876945806430338,-1.1692610752404509,0.25,-0.8069929250141621,-0.07429658191385043,1.7213221503235243,0.890625,0.8803827751196173,0.921875
distilbert-base-uncased,distilbert_base_uncased,jepa,random_matched,20260984,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.1508320569992065,0.1269544919483412,-0.4746632362639532,-0.6328843150186043,0.5,-1.072509514511925,-0.417815302190469,0.3594720013256594,0.87890625,0.8854166666666666,0.9166666666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260985,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.2882214784622192,0.07820597389452952,-0.679822537728037,-0.9064300503040493,0.25,0.3582928487013678,0.15394589693007918,-1.6257139434966774,0.9036458333333334,0.9035532994923858,0.9088541666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260985,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.2882214784622192,0.8924028024118815,1.728348602198727,2.304464802931636,1.0,1.4774269059526643,1.5749849455154132,0.9472739312996651,0.9427083333333334,0.9680851063829786,0.9088541666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260985,sci.med,2,20newsgroups,96,96,90,32,32,8.0,1.2882214784622192,0.1381648540724803,-0.5024805980771498,-0.669974130769533,0.75,-0.9620321938784521,-0.8407814370796546,0.00040941325549531655,0.8763020833333334,0.8979591836734694,0.9088541666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260985,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.2882214784622192,0.12343567763236232,-0.5460454663935405,-0.7280606218580539,0.5,-0.873687560775581,-0.8881494053658338,0.6780305989415127,0.875,0.8663101604278075,0.9088541666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,concern,20260985,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.5246247053146362,0.05165809201841936,-0.8961264735105643,-1.1948352980140857,0.25,0.7420149256640816,0.4554479094830743,-1.5069608705983233,0.9192708333333334,0.9145728643216081,0.9192708333333334
distilbert-base-uncased,distilbert_base_uncased,jepa,random_matched,20260985,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.1735024452209473,0.10089030238524252,-0.6839899046330243,-0.911986539510699,0.5,0.022001281983063784,0.13578692120014338,-1.3882870238697427,0.9036458333333334,0.9052631578947369,0.90625
distilbert-base-uncased,distilbert_base_uncased,jepa,concern,20260985,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.6241669654846191,0.35429557424721037,0.7263934820085785,0.9685246426781046,0.75,1.3900129862177693,1.5752624893367495,1.1793172331039259,0.9661458333333334,0.9543147208121827,0.921875
distilbert-base-uncased,distilbert_base_uncased,jepa,random_matched,20260985,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.0463279485702515,0.9404171528085639,1.7254825663625428,2.3006434218167238,1.0,1.1529929280448423,0.8118281505070104,1.1356666772905135,0.9114583333333334,0.9621621621621621,0.8984375
distilbert-base-uncased,distilbert_base_uncased,jepa,concern,20260985,sci.med,2,20newsgroups,96,96,90,32,32,8.0,1.0228558778762817,0.11453235167837399,-0.5214787978459573,-0.6953050637946097,0.75,-0.14041941789413379,-0.7012846869383238,0.9077605943584847,0.8541666666666666,0.8717948717948718,0.90625
distilbert-base-uncased,distilbert_base_uncased,jepa,random_matched,20260985,sci.med,2,20newsgroups,96,96,90,32,32,8.0,1.2192249298095703,0.23749119274900854,-0.3211966510162217,-0.42826220135496224,0.75,-0.9018749245180887,-0.48524955964935396,0.39420474862648475,0.8919270833333334,0.9222797927461139,0.921875
distilbert-base-uncased,distilbert_base_uncased,jepa,concern,20260985,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.4145588874816895,0.06547665937189275,-0.7260864446063305,-0.9681152594751072,0.25,-0.5688866166001597,-0.3674521567776741,1.4111878897632224,0.8697916666666666,0.8514851485148515,0.9010416666666666
distilbert-base-uncased,distilbert_base_uncased,jepa,random_matched,20260985,sci.space,3,20newsgroups,96,96,90,32,32,8.0,1.6597648859024048,0.12035459895188629,-0.5492479651183236,-0.7323306201577647,0.5,-0.9638585518394336,-0.9763666953302585,-0.3812096185845808,0.875,0.8817204301075269,0.9114583333333334
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260986,comp.graphics,0,20newsgroups,96,96,90,32,32,8.0,1.2738242149353027,0.13641033594272498,-0.5185161206938325,-0.6913548275917765,0.5,-0.7869773987470453,-0.7729031834185468,-0.7280645222155666,0.8580729166666666,0.9042553191489361,0.9114583333333334
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260986,rec.sport.hockey,1,20newsgroups,96,96,90,32,32,8.0,1.2738242149353027,0.7537452018963642,1.7253921323240742,2.3005228430987654,1.0,1.546061815605541,1.3656560007771312,1.4561677775150592,0.9778645833333334,0.9791666666666666,0.9114583333333334
distilbert-base-uncased,distilbert_base_uncased,jepa,uniform,20260986,sci.med,2,20newsgroups,96,96,90,32,32,8.0,1.2738242149353027,0.1443474637453704,-0.48966599807180733,-0.6528879974290763,0.75,0.21301784300170468,0.5288284939179533,-1.1004037169716714,0.9309895833333334,0.9064039408866995,0.9114583333333334
