arch,condition,seed,reward_x,reward_y,final_loss,coverage,side,Ng,reward_z,wrong_z_mean,specificity_z,reward_rank_percentile,peak_error,top10_com_error,spatial_corr_reward_log_metric,area_reward_z,area_wrong_z_mean,area_specificity_z,area_reward_rank_percentile,area_peak_error,area_top10_com_error,area_spatial_corr_reward_log_metric,mean_area,mean_stretch
transformer,reward,20260702,0.25,0.5,0.1494450867176056,1.0,16,256,1.7627471510370665,-0.1074729072782174,1.870220058315284,0.9336734693877551,0.03726779962499649,0.022686965118991254,0.7766729566813889,1.765274907109543,-0.10648280935457896,1.871757716464122,0.9336734693877551,0.03726779962499649,0.024763294216862086,0.777849854805652,21.018786369632167,4.5838902096906
transformer,reward,20260702,0.25,0.75,0.15042994916439056,1.0,16,256,1.8149914747263052,-0.2785987795467431,2.0935902542730482,0.9081632653061225,0.1269295517643985,0.08137939721467968,0.814147311170587,1.821943477962686,-0.27447326779378967,2.0964167457564757,0.9132653061224489,0.1269295517643985,0.08079027720906563,0.8155855519225905,20.26715645200593,4.499928665223909
transformer,reward,20260702,0.5,0.25,0.1502285599708557,1.0,16,256,1.9292149866902235,-0.13449817003707462,2.063713156727298,0.923469387755102,0.03726779962499649,0.045304005321260776,0.85045739904075,1.931033258957747,-0.1349052579502062,2.0659385169079534,0.923469387755102,0.03726779962499649,0.044727098922525924,0.8511745510211726,20.31647465190655,4.505929634792276
transformer,reward,20260702,0.5,0.5,0.14972515404224396,1.0,16,256,1.9316089702744,0.21522904731029896,1.716379922964101,0.9336734693877551,0.04714045207910316,0.004706565482947259,0.8345625881259746,1.930780228127502,0.21379741731019009,1.7169828108173117,0.9336734693877551,0.04714045207910316,0.004598596394171289,0.8336820422512191,20.72431645601062,4.552738972554247
transformer,reward,20260702,0.5,0.75,0.1452360600233078,1.0,16,256,1.9579673194214262,0.008405626521580792,1.9495616928998454,0.9285714285714286,0.03726779962499651,0.0256202310835458,0.8572557675041652,1.9588302668661826,0.0076916455430074415,1.9511386213231752,0.9285714285714286,0.03726779962499651,0.025495131062339995,0.8583637772493714,21.053754294541907,4.587335923806744
transformer,reward,20260702,0.75,0.25,0.15445742011070251,1.0,16,256,1.8944145550183213,-0.2728327814497793,2.1672473364681006,0.923469387755102,0.07071067811865477,0.040544761445079285,0.8128068132532473,1.8943020276299962,-0.26769981832976547,2.162001845959762,0.923469387755102,0.07071067811865477,0.0406681785196325,0.8134893151668492,20.106313236374298,4.483246487154284
transformer,reward,20260702,0.75,0.5,0.14552071690559387,1.0,16,256,1.9873817505964206,-0.029685242345009466,2.01706699294143,0.9387755102040817,0.06009252125773319,0.04468460929472215,0.8476304744541063,1.9901219184382657,-0.02959797050891283,2.0197198889471784,0.9387755102040817,0.06009252125773319,0.04399925065547497,0.8485963340544306,20.725508480501386,4.550615030207724
transformer,reward,20260702,0.75,0.75,0.14717109501361847,1.0,16,256,2.0691143172626583,-0.22407279679093844,2.293187114053597,0.9387755102040817,0.05270462766947305,0.04979655633139551,0.8906246824567476,2.0761530443922673,-0.22170969121932693,2.297862735611594,0.9336734693877551,0.05270462766947305,0.04979720935823066,0.8920996543114271,20.12697811183293,4.4839623617125115
jepa,control,20260702,0.25,0.25,0.26593905687332153,1.0,16,256,0.5888425978889679,0.13825962152940097,0.4505829763595669,0.6683673469387755,0.552268050859363,0.36720609384939684,0.22184064368827916,0.5912655783336122,0.14638022971827708,0.4448853486153351,0.6683673469387755,0.552268050859363,0.36474690959677,0.22122362376439164,10.613677626346155,3.26569661908505
jepa,control,20260702,0.25,0.5,0.26593905687332153,1.0,16,256,-0.3357885935948115,0.2538385204648734,-0.5896271140596849,0.4030612244897959,0.304138126514911,0.20616210669284762,-0.14226309934903372,-0.35835577850012457,0.2650828993224942,-0.6234386778226187,0.37244897959183676,0.304138126514911,0.20828940985935457,-0.15758409400598963,10.613677626346155,3.26569661908505
