augment,arch,seed,weakness_translation,weakness_wrong_group,toroidal_score,betti_match_torus,betti1_estimate,h1_top1,h1_top2,h2_top,fourier_pr,id_accuracy,ood_accuracy,final_loss,coverage,ood_arena_1,ood_arena_1_25,ood_arena_1_5,ood_arena_2
full_translation,rnn,20261828,0.8592132450344498,0.0,0.10695420444815457,False,4,2.6297900294709455,1.0331824360090303,0.545329306688636,4.909623830484702,0.929,0.93925,0.1639605164527893,1.0,0.9395,0.933,0.93475,0.93925
full_translation,rnn,20261928,0.8042926171934879,0.0,0.03417719484601238,False,23,1.1113873210868879,0.7703534759262316,0.14997830485875507,7.382993250113949,0.93525,0.919,0.16475610435009003,1.0,0.92975,0.937,0.9235,0.919
full_translation,rnn,20262028,0.8429160102404618,0.0,0.15866257628059063,False,3,1.724324148677648,1.426491069695412,0.951065177806222,6.722962000724644,0.946,0.956,0.13567256927490234,1.0,0.94175,0.95175,0.94525,0.956
full_translation,rnn,20262128,0.8724436793148321,0.0,0.28003348551230783,True,2,3.100425115389249,1.910851664153399,1.5840085239251307,5.030756376456026,0.9565,0.952,0.12658625841140747,1.0,0.94725,0.95375,0.95225,0.952
full_translation,rnn,20262228,0.8605582059118377,0.0,0.2953843228225229,True,2,3.1666421342012354,1.7137069904794555,1.337057859221642,5.314644805966091,0.94175,0.9595,0.13088145852088928,1.0,0.94375,0.945,0.944,0.9595
full_translation,rnn,20262328,0.9111301575190508,0.0,0.19398836470001288,False,3,2.375253448795676,1.340671664055355,0.8501590323923236,4.5642189639698625,0.9435,0.94725,0.14486069977283478,1.0,0.952,0.9515,0.94825,0.94725
full_translation,rnn,20262428,0.8458385023452716,0.0,0.04870411238699067,False,2,3.2853429518209736,1.1561534800258249,0.20988410059376417,5.452963893772311,0.923,0.92,0.20297953486442566,1.0,0.91875,0.91475,0.91425,0.92
full_translation,rnn,20262528,0.9111158527582938,0.0,0.1932565964024644,False,3,3.016674949939128,1.8848423747364649,1.3344789224142248,4.382034312475667,0.94725,0.94775,0.13889311254024506,1.0,0.94575,0.952,0.943,0.94775
full_translation,rnn,20262628,0.8773760181939606,0.0,0.35928864888789425,True,2,2.3729387715733066,2.0404250916267,1.313000828052504,5.353392384549313,0.955,0.95475,0.1500687152147293,1.0,0.952,0.954,0.95175,0.95475
full_translation,rnn,20262728,0.8726716584223889,0.0,0.3550769727603744,True,2,2.4145743498181895,1.7934604361939552,1.244661452638804,4.715811309833659,0.9535,0.95725,0.1328081488609314,1.0,0.95125,0.95025,0.956,0.95725
full_translation,rnn,20262828,0.9244681509407171,0.0,0.18532850318823224,False,3,2.9710519697788538,1.4246129029690202,0.9647789564794702,4.804508917188492,0.9475,0.96075,0.14414025843143463,1.0,0.943,0.93975,0.94525,0.96075
full_translation,rnn,20262928,0.8644059691405184,0.0,0.35719381657925525,True,2,2.4004100384110685,1.9790485613139868,1.344554438809125,4.999836746255665,0.9475,0.956,0.1301359236240387,1.0,0.95475,0.95725,0.9565,0.956
full_translation,rnn,20263028,0.9053110877790179,0.0,0.24792617526468025,True,2,2.138794899509882,1.6050204727280857,0.8896540308347953,6.2944194192049565,0.94275,0.9395,0.1366562694311142,1.0,0.94125,0.93875,0.94575,0.9395
full_translation,rnn,20263128,0.8692560674662482,0.0,0.018757353332898158,False,21,2.1170619004447238,0.7984594244832253,0.13468828929599397,5.953519721116629,0.93075,0.91825,0.1827402263879776,1.0,0.925,0.9265,0.915,0.91825
full_translation,rnn,20263228,0.920259203655912,0.0,0.4200480894166377,True,2,2.6479580980040383,2.2349818179253025,1.681212508605142,4.535106996725314,0.9525,0.953,0.13490204513072968,1.0,0.957,0.958,0.95775,0.953
full_translation,rnn,20263328,0.92959821310389,0.0,0.18301856472379485,False,3,2.589930574771924,1.3324239006756051,1.1536433312773573,4.388368059503079,0.95075,0.94975,0.1391805112361908,1.0,0.94625,0.948,0.94725,0.94975
full_translation,rnn,20263428,0.8743261117659493,0.0,0.4091132213050545,True,2,2.398900197182989,2.2351393935248667,1.8669949189089556,5.261448070218348,0.952,0.954,0.12005006521940231,1.0,0.95475,0.9545,0.95125,0.954
full_translation,rnn,20263528,0.8157288181076392,0.0,0.4411374597372312,True,2,2.4937559618256637,2.2804310725456887,1.9739910254408621,5.680399019619178,0.9545,0.95975,0.12550541758537292,1.0,0.94925,0.95125,0.95575,0.95975
full_translation,rnn,20263628,0.8906932018709751,0.0,0.3773585503349974,True,2,2.892428909110934,2.3238273604870363,1.381271137837738,5.584358494072929,0.94525,0.948,0.14200443029403687,1.0,0.9435,0.9405,0.94575,0.948
full_translation,rnn,20263728,0.9098011932926917,0.0,0.35848633728683477,True,2,2.7633752300828904,1.9426842699730464,1.6358600300959267,5.6034031516744776,0.9315,0.93825,0.15803755819797516,1.0,0.938,0.94625,0.9385,0.93825
partial_translation,gru,20260628,0.12189557377037076,0.0,0.0011293139097861586,False,22,0.41752302613823544,0.4099338949494159,0.06869461641954466,5.797155428778835,0.92575,0.728,0.25419965386390686,1.0,0.91075,0.7665,0.6785,0.728
partial_translation,gru,20260728,0.260459371754792,0.0,0.011052479388425868,False,23,0.42655275839222084,0.3661734386197888,0.04935403168576591,7.843597887018097,0.912,0.71125,0.25000983476638794,1.0,0.9225,0.74275,0.695,0.71125
partial_translation,gru,20260828,0.04876964225518938,0.0,0.017460271833173818,False,21,0.4505046837889526,0.3821139786316169,0.0772938917520456,6.101741750498839,0.933,0.72175,0.20650047063827515,1.0,0.9245,0.8185,0.7255,0.72175
partial_translation,gru,20260928,0.4127214239715939,0.0,0.0029426034709843143,False,23,0.3981975399483352,0.36477607486662067,0.08783837368584047,6.7566337758664945,0.9025,0.7325,0.22941403090953827,1.0,0.92775,0.826,0.69725,0.7325
partial_translation,gru,20261028,0.37825981829542416,0.0,0.005159574631340166,False,31,0.32271012342529437,0.30878304410193935,0.01255637493972428,5.96185077084574,0.9345,0.75175,0.22034689784049988,1.0,0.92375,0.806,0.697,0.75175
partial_translation,gru,20261128,0.17383863260444354,0.0,0.021359172726306268,False,15,0.5605662677820619,0.4570054396087547,0.05177508699747957,5.697904402606326,0.9225,0.73325,0.16826865077018738,1.0,0.91925,0.8235,0.6955,0.73325
partial_translation,gru,20261228,0.0,0.0,0.014096494328728053,False,21,0.3744555013772901,0.37203320629521497,0.0843334684661794,8.45727942417575,0.9085,0.73125,0.2984963655471802,1.0,0.911,0.73975,0.67525,0.73125
partial_translation,gru,20261328,0.45985901749593616,0.0,0.021400511681269507,False,12,0.4718374849376735,0.4517514706707596,0.051498268793275015,6.210834217310433,0.92325,0.744,0.28367510437965393,1.0,0.9025,0.786,0.69925,0.744
partial_translation,gru,20261428,0.6550221715735866,0.0,0.0,False,18,0.4013970757966061,0.39304910315324526,0.0,5.930781114751096,0.90875,0.7085,0.18340034782886505,1.0,0.9175,0.81775,0.68975,0.7085
partial_translation,gru,20261528,0.2710912078244602,0.0,0.0,False,29,0.4486265110216089,0.3915179472613861,0.0,7.356886073419777,0.91375,0.72775,0.3032163977622986,1.0,0.9155,0.79625,0.69525,0.72775
partial_translation,gru,20261628,0.27743759506716953,0.0,0.003846476366504673,False,26,0.4491259937177037,0.32868809428307266,0.02685090330094697,6.092876194395278,0.92025,0.741,0.21728797256946564,1.0,0.931,0.801,0.6795,0.741
partial_translation,gru,20261728,0.5766955914234073,0.0,0.005808957029773822,False,28,0.3207662359126664,0.3205674420828363,0.02388127587225175,5.658619474189107,0.907,0.7275,0.2797242999076843,1.0,0.90825,0.75425,0.7205,0.7275
partial_translation,gru,20261828,0.6251558540213115,0.0,0.012720421674504982,False,21,0.4434633698504975,0.4135758563791708,0.03254226918608771,5.41485457476799,0.93275,0.72,0.27705299854278564,1.0,0.94625,0.80425,0.672,0.72
partial_translation,gru,20261928,0.6281708278081596,0.0,0.00774437385344107,False,30,0.3046224688020761,0.3003830922795432,0.10366440292487256,5.324425004106402,0.924,0.6985,0.2691258192062378,1.0,0.909,0.775,0.67225,0.6985
partial_translation,gru,20262028,0.37238779138573536,0.0,0.006978477237277956,False,17,0.42233907084942146,0.38903126289987644,0.04421165654753412,5.4702321229787545,0.9045,0.717,0.31390756368637085,1.0,0.9125,0.79225,0.6985,0.717
partial_translation,gru,20262128,0.6035862621249214,0.0,0.0062520970277868005,False,24,0.38301711082247614,0.34620559737334033,0.058397774891903675,4.8748113952070105,0.933,0.7245,0.21182696521282196,1.0,0.92925,0.78375,0.65725,0.7245
partial_translation,gru,20262228,0.28556720446308537,0.0,0.0023250527856297463,False,40,0.4007151447106825,0.3003713810294396,0.008771200231563081,6.669905516100098,0.91325,0.72675,0.29791322350502014,1.0,0.927,0.7895,0.701,0.72675
partial_translation,gru,20262328,0.35828107332277237,0.0,0.0,False,37,0.3477696682275535,0.3145048087304515,0.0,7.91537667160607,0.91725,0.67125,0.18870960175991058,1.0,0.92625,0.7625,0.687,0.67125
partial_translation,gru,20262428,0.08459562977499246,0.0,0.012980058853318823,False,26,0.4282823901088725,0.3787460121603673,0.04974378759810438,6.577574206616334,0.92025,0.71575,0.20215651392936707,1.0,0.916,0.80525,0.686,0.71575
partial_translation,gru,20262528,0.2550930804837377,0.0,0.011640196919445381,False,12,0.540354507275312,0.4716036388214817,0.08658697257357928,7.157769535092408,0.886,0.67075,0.27628910541534424,1.0,0.88525,0.70675,0.6505,0.67075
partial_translation,gru,20262628,0.47268387072821316,0.0,0.0022253795148706656,False,20,0.37921671940937296,0.3760656359263598,0.005674542105511771,6.51152320484749,0.92725,0.717,0.21808555722236633,1.0,0.94475,0.79725,0.68075,0.717
partial_translation,gru,20262728,0.22146868646451945,0.0,0.005128693969187417,False,22,0.3703183992018182,0.35586917512913563,0.06083774868526781,6.541858570197104,0.92525,0.70575,0.21002675592899323,1.0,0.941,0.799,0.69725,0.70575
partial_translation,gru,20262828,0.59587362279203,0.0,0.01747538042030579,False,19,0.5646882444212215,0.46493847528721344,0.04298576142339161,7.047684727155907,0.92975,0.7205,0.317707359790802,1.0,0.91925,0.80075,0.68975,0.7205
partial_translation,gru,20262928,0.3021888474998071,0.0,0.01973398218730458,False,15,0.4896402989465962,0.4495026436380931,0.04705901614193286,6.482869971310567,0.93175,0.74175,0.2745727598667145,1.0,0.93075,0.79725,0.69625,0.74175
partial_translation,gru,20263028,0.649473450279711,0.0,0.036497907165242496,False,27,0.42031103627978317,0.37448941989578055,0.10137783747732942,5.41189427108,0.9335,0.73825,0.24668431282043457,1.0,0.934,0.844,0.71775,0.73825
partial_translation,gru,20263128,0.27286759856990733,0.0,0.007416076992584089,False,33,0.3631194684294101,0.32798073392406246,0.021267278481594154,8.47180357386495,0.90525,0.75725,0.26911041140556335,1.0,0.90075,0.77925,0.67225,0.75725
partial_translation,gru,20263228,0.24671504221877383,0.0,0.008329705138943004,False,23,0.5211828239185214,0.38393215863903396,0.02019428331593698,5.671689479085954,0.93025,0.75525,0.21783331036567688,1.0,0.9365,0.796,0.712,0.75525
partial_translation,gru,20263328,0.0013749694455813903,0.0,0.010952583607305215,False,26,0.34229619019479685,0.33283362733292676,0.04062556342859713,6.314042275535195,0.886,0.6785,0.34543806314468384,1.0,0.8805,0.7395,0.608,0.6785
partial_translation,gru,20263428,0.2034642855187559,0.0,0.010644569044765496,False,16,0.4890763025123671,0.44339639247868545,0.026415203843747292,5.43383651895127,0.92725,0.69575,0.22650539875030518,1.0,0.9105,0.77775,0.69825,0.69575
